ultimate_parent_rcid,firm_name,ever_genai,first_genai_date,total_postings,total_genai_integrator_posts,first_post_date,last_post_date,share_genai_integrator_posts,active_days
31405,DEME Group NV,0,,11,0,2022-06-21,2024-08-23,0.0,794
31850,Market Talent Ltd.,0,,1,0,2021-07-12,2021-07-12,0.0,0
31934,"Flutterwave, Inc.",0,,1,0,2024-01-04,2024-01-04,0.0,0
31948,Wediscover Digital Ltd.,0,,2,0,2022-07-19,2022-10-06,0.0,79
32048,Geekseat Australia Pty Ltd.,0,,1,0,2022-08-19,2022-08-19,0.0,0
32061,Blackbox (California),0,,1,0,2022-08-18,2022-08-18,0.0,0
32288,Advanex Inc.,0,,15,0,2021-03-11,2024-03-08,0.0,1093
32322,Head Office NV,0,,2,0,2024-07-02,2024-07-02,0.0,0
32370,Schuh Ltd.,0,,31,0,2022-09-10,2024-10-31,0.0,782
32404,Crest Secondary School,0,,9,0,2021-09-29,2023-10-02,0.0,733
32454,Eureka Robotics Pte Ltd.,0,,7,0,2022-08-06,2024-07-01,0.0,695
32539,Singapore College of Insurance Ltd.,0,,19,0,2023-06-15,2024-10-14,0.0,487
32578,Atomionics Pte Ltd.,0,,27,0,2021-08-16,2024-11-15,0.0,1187
32677,Lisa Von Tang Pte Ltd.,0,,2,0,2022-02-08,2023-01-18,0.0,344
32764,"Zycus, Inc.",0,,2,0,2023-10-16,2023-12-27,0.0,72
32798,GrowthOps Ltd.,0,,8,0,2021-10-13,2024-12-09,0.0,1153
32808,SP Sysnet Pte Ltd.,0,,13,0,2021-08-09,2022-07-22,0.0,347
32844,Hock Seng Food Pte Ltd.,0,,8,0,2022-03-22,2024-07-18,0.0,849
32867,Red Dot Analytics Pte Ltd.,1,2021-03-02,44,2,2021-03-02,2024-12-06,0.045454545454545456,1375
32891,Tecity Group,0,,2,0,2021-09-14,2023-01-26,0.0,499
33177,Ravel Technologies Pty Ltd.,0,,2,0,2022-02-07,2022-06-10,0.0,123
33594,Web Imp Pte Ltd.,0,,11,0,2021-08-20,2022-07-25,0.0,339
33626,Trive Venture Capital Pte Ltd,0,,2,0,2021-08-04,2023-03-10,0.0,583
33645,ICON plc,0,,34,0,2021-03-27,2024-12-12,0.0,1356
33679,Humatica AG,0,,1,0,2022-09-11,2022-09-11,0.0,0
33693,Leading Solution,0,,1,0,2022-11-01,2022-11-01,0.0,0
33816,Organisation Solutions Pte Ltd.,0,,5,0,2021-09-13,2024-10-01,0.0,1114
34138,Dileep Essentials Pvt Ltd.,0,,1,0,2021-04-23,2021-04-23,0.0,0
34233,"DMA Holdings, Inc. (North Carolina)",0,,28,0,2022-07-31,2024-10-11,0.0,803
34273,"Shanghai Tunnel Engineering Co., Ltd.",1,2021-03-26,322,8,2021-03-03,2024-12-24,0.024844720496894408,1392
34285,Mobilunity,0,,7,0,2021-04-21,2023-05-26,0.0,765
34307,Urban Co. Ltd.,0,,2,0,2021-05-07,2021-06-09,0.0,33
34332,Ascend Now Pte. Ltd.,0,,3,0,2021-04-14,2022-08-12,0.0,485
34539,PACLAB Network Laboratories,0,,5,0,2024-01-12,2024-11-15,0.0,308
34618,Heatec Jietong Pte Ltd.,0,,5,0,2022-03-22,2023-05-03,0.0,407
34638,British Veterinary Association,0,,1,0,2024-06-03,2024-06-03,0.0,0
34799,"Abbey Road Programs, Inc.",0,,2,0,2022-01-31,2023-01-28,0.0,362
34841,Forest Adventure Pte Ltd.,0,,3,0,2024-08-08,2024-11-19,0.0,103
34861,Travelite GmbH & Co. KG,0,,11,0,2022-03-22,2024-12-19,0.0,1003
35091,Just After Midnight Ltd.,0,,7,0,2022-07-12,2024-10-28,0.0,839
35452,Yamaha Music Communications Co. Ltd.,1,2024-01-18,203,3,2021-03-01,2024-11-18,0.014778325123152709,1358
35498,DocDoc Pte Ltd.,0,,1,0,2022-10-18,2022-10-18,0.0,0
35701,Eps Consultants Pte Ltd.,1,2021-08-13,750,3,2021-03-01,2024-12-11,0.004,1381
