ultimate_parent_rcid,firm_name,ever_genai,first_genai_date,total_postings,total_genai_integrator_posts,first_post_date,last_post_date,share_genai_integrator_posts,active_days
21845701,Recruit Lync Pte Ltd,1,2024-04-15,2172,3,2022-04-30,2024-12-29,0.0013812154696132596,974
109401,eFinancialCareers Ltd.,1,2023-04-16,2165,37,2022-01-10,2024-08-07,0.017090069284064664,940
871140,Oaktree Consulting,1,2022-01-05,2157,12,2022-01-02,2024-12-30,0.005563282336578581,1093
1492897,Cognizant Technology Solutions Corp.,1,2022-01-19,2150,35,2022-01-04,2024-12-27,0.01627906976744186,1088
49587,Media Corp. Plc,1,2022-07-05,2112,55,2022-01-05,2024-12-31,0.026041666666666668,1091
97982,Ambition Group Ltd.,1,2023-01-02,2070,6,2022-01-06,2024-12-18,0.002898550724637681,1077
1232095,"Apple, Inc.",1,2022-01-13,2064,156,2022-01-02,2024-12-31,0.0755813953488372,1094
339810,The GMP Group,1,2022-08-22,2046,24,2022-01-04,2024-12-18,0.011730205278592375,1079
22144738,Sephora SASU,1,2022-01-21,2033,48,2022-01-05,2024-12-31,0.023610427939006393,1091
6593993,TempServ Pte Ltd.,1,2022-04-08,2008,5,2022-01-04,2024-12-20,0.00249003984063745,1081
1155135,Ethos Beathchapman,1,2022-05-18,1968,10,2022-01-04,2024-12-19,0.00508130081300813,1080
18937491,Talents@Work,1,2022-03-18,1948,10,2022-01-04,2024-12-31,0.00513347022587269,1092
22142390,IBM Global Services,1,2022-01-24,1940,54,2022-01-05,2024-12-30,0.027835051546391754,1090
477885,AIA Group Ltd.,1,2022-02-08,1931,19,2022-01-03,2024-12-27,0.00983946141895391,1089
3004589,CVista HR Consulting Pte Ltd (EA License: 16C7883),1,2023-08-28,1923,7,2022-01-05,2024-12-31,0.003640145605824233,1091
6446675,Success Human Resource Centre Pte Ltd,1,2022-07-02,1884,11,2022-01-03,2024-12-30,0.00583864118895966,1092
